dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-so2sat,intrinsic_dim,id_TwoNN_train,16.454702377319336,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,e89e7956830a6ff8,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,16.75960922241211,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,e89e7956830a6ff8,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,26.0,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,e89e7956830a6ff8,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,23.458715438842773,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,43,e89e7956830a6ff8,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,23.690832138061523,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,43,e89e7956830a6ff8,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,36.0,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,43,e89e7956830a6ff8,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,16.07196617126465,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,e89e7956830a6ff8,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,16.658552169799805,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,e89e7956830a6ff8,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,26.0,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,e89e7956830a6ff8,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_TwoNN_train,24.18714141845703,0.0,0.0,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,19,e89e7956830a6ff8,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_MLE_train,18.799152374267578,0.0,0.0,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,19,e89e7956830a6ff8,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_lPCA_train,33.0,0.0,0.0,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,19,e89e7956830a6ff8,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,24.43793296813965,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,10,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,19.817089080810547,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,10,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,28.0,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,10,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,12,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_MLE_train,1.2487646341323853,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,12,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_lPCA_train,31.0,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,12,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_TwoNN_train,26.767330169677734,0.0,0.0,768,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,10,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_MLE_train,22.222171783447266,0.0,0.0,768,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,10,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_lPCA_train,31.0,0.0,0.0,768,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,10,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_TwoNN_train,25.49365997314453,0.0,0.0,768,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,2,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_MLE_train,20.171573638916016,0.0,0.0,768,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,2,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_lPCA_train,37.0,0.0,0.0,768,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,2,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_TwoNN_train,20.343984603881836,0.0,0.0,768,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,15,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_MLE_train,17.716962814331055,0.0,0.0,768,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,15,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_lPCA_train,31.0,0.0,0.0,768,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,15,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,18.231721878051758,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,2,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,20.85944366455078,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,2,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,32.0,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,2,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,12,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,1.3516439199447632,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,12,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_lPCA_train,29.0,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,12,1f3987a81c9423e7,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_TwoNN_train,24.012435913085938,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,45,08beaba924ff06ff,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_MLE_train,20.87451934814453,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,45,08beaba924ff06ff,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_lPCA_train,30.0,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,45,08beaba924ff06ff,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_effective_rank_train,189.08334598702052,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,45,08beaba924ff06ff,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_participation_ratio_train,48.69001397800381,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,45,08beaba924ff06ff,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.11530991503631285,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,45,08beaba924ff06ff,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.3122826800541403,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,45,08beaba924ff06ff,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_spectral_anisotropy_train,0.11415647294379176,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,bandspec_zscore,224,bilinear,default,rgb,45,08beaba924ff06ff,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_TwoNN_train,24.23391342163086,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,model_native,224,bilinear,default,rgb,45,ece62459d4a0c890,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_MLE_train,20.625139236450195,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,model_native,224,bilinear,default,rgb,45,ece62459d4a0c890,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_lPCA_train,33.0,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,model_native,224,bilinear,default,rgb,45,ece62459d4a0c890,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_effective_rank_train,186.09523582883216,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,model_native,224,bilinear,default,rgb,45,ece62459d4a0c890,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_participation_ratio_train,50.10444875880314,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,model_native,224,bilinear,default,rgb,45,ece62459d4a0c890,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.11077817914226189,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,model_native,224,bilinear,default,rgb,45,ece62459d4a0c890,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.3150116059543485,0.0,0.0,768,,,,18900,6300,6300,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_small_window8_256,model_native,224,bilinear,default,rgb,45,ece62459d4a0c890,-6,4,40,True,200,,,,,,,,,,,,,,
