dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-so2sat,intrinsic_dim,id_TwoNN_train,18.516664505004883,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,17,6ffb1bd9f25efbe7,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,15.941788673400879,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,17,6ffb1bd9f25efbe7,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,18.0,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,17,6ffb1bd9f25efbe7,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,18.94040870666504,0.0,0.0,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,43,6ffb1bd9f25efbe7,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,16.23081398010254,0.0,0.0,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,43,6ffb1bd9f25efbe7,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,14.0,0.0,0.0,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,43,6ffb1bd9f25efbe7,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,17.49657440185547,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,17,6ffb1bd9f25efbe7,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,15.37141227722168,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,17,6ffb1bd9f25efbe7,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,18.0,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,17,6ffb1bd9f25efbe7,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_TwoNN_train,20.752424240112305,0.0,0.0,1536,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,19,6ffb1bd9f25efbe7,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_MLE_train,16.38008689880371,0.0,0.0,1536,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,19,6ffb1bd9f25efbe7,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_lPCA_train,17.0,0.0,0.0,1536,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,19,6ffb1bd9f25efbe7,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,18.58629035949707,0.0,0.0,1536,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,10,7229dffe64102107,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,13.997498512268066,0.0,0.0,1536,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,10,7229dffe64102107,-6,4,40,True,200,,,,,,,,,,,,,,
