dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-so2sat,intrinsic_dim,id_TwoNN_train,16.748973846435547,0.0,0.0,512,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,resnet34,bandspec_zscore,224,bilinear,default,rgb,17,65796f547a0888a5,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,14.818655014038086,0.0,0.0,512,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,resnet34,bandspec_zscore,224,bilinear,default,rgb,17,65796f547a0888a5,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,16.0,0.0,0.0,512,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,resnet34,bandspec_zscore,224,bilinear,default,rgb,17,65796f547a0888a5,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,21.16376304626465,0.0,0.0,512,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,resnet34,bandspec_zscore,224,bilinear,default,rgb,43,65796f547a0888a5,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,20.850624084472656,0.0,0.0,512,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,resnet34,bandspec_zscore,224,bilinear,default,rgb,43,65796f547a0888a5,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,24.0,0.0,0.0,512,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,resnet34,bandspec_zscore,224,bilinear,default,rgb,43,65796f547a0888a5,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_TwoNN_train,23.400957107543945,0.0,0.0,512,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,resnet34,bandspec_zscore,224,bilinear,default,rgb,19,65796f547a0888a5,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_MLE_train,17.015840530395508,0.0,0.0,512,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,resnet34,bandspec_zscore,224,bilinear,default,rgb,19,65796f547a0888a5,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_lPCA_train,18.0,0.0,0.0,512,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,resnet34,bandspec_zscore,224,bilinear,default,rgb,19,65796f547a0888a5,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,16.782194137573242,0.0,0.0,512,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,resnet34,bandspec_zscore,224,bilinear,default,rgb,17,65796f547a0888a5,-6,4,40,True,200,,,,,,,,,,,,,,
