dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-so2sat,intrinsic_dim,id_TwoNN_train,19.30912971496582,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,18.776721954345703,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,29.0,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,23.05156707763672,0.0,0.0,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,23.29294204711914,0.0,0.0,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,18.0,0.0,0.0,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,18.427688598632812,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,18.777706146240234,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,30.0,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_TwoNN_train,24.51833152770996,0.0,0.0,1536,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,19,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,,,,,,,,
