dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-so2sat,intrinsic_dim,id_TwoNN_train,16.321401596069336,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,15.768356323242188,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,24.0,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,16.060230255126953,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,15.949480056762695,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,25.0,0.0,0.0,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,23.235031127929688,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,24.51982879638672,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,41.0,0.0,0.0,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_TwoNN_train,25.937562942504883,0.0,0.0,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,19,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_MLE_train,18.890960693359375,0.0,0.0,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,19,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_lPCA_train,35.0,0.0,0.0,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,19,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,12,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,1.379204273223877,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,12,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_lPCA_train,31.0,0.0,0.0,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,12,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,24.325565338134766,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,20.03788185119629,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,32.0,0.0,0.0,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_TwoNN_train,28.744670867919922,0.0,0.0,768,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_MLE_train,22.748857498168945,0.0,0.0,768,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_lPCA_train,35.0,0.0,0.0,768,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,17.961336135864258,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,2,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,21.257822036743164,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,2,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,26.0,0.0,0.0,768,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,2,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_TwoNN_train,24.872114181518555,0.0,0.0,768,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,2,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_MLE_train,18.37870216369629,0.0,0.0,768,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,2,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_lPCA_train,31.0,0.0,0.0,768,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,2,41ada2adce79a74a,-6,4,40,True,200,,,,,,,,,,,,,,
