dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-so2sat,intrinsic_dim,id_TwoNN_train,16.033321380615234,0.0,0.0,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,16.016170501708984,0.0,0.0,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,27.0,0.0,0.0,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,21.698945999145508,0.0,0.0,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,43,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,21.62937355041504,0.0,0.0,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,43,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,35.0,0.0,0.0,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,43,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,15.928224563598633,0.0,0.0,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,16.076900482177734,0.0,0.0,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,27.0,0.0,0.0,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_TwoNN_train,22.249740600585938,0.0,0.0,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,19,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,,,,,,,,
