dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,intrinsic_dim,id_TwoNN_train,21.65066909790039,0.0,0.0,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,20.794490814208984,0.0,0.0,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,20.0,0.0,0.0,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_TwoNN_train,14.94173526763916,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,14.50967788696289,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,13.0,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,15.3641357421875,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,14.5206880569458,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,13.0,0.0,0.0,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_TwoNN_train,23.688222885131836,0.0,0.0,384,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,7524ff0a168379ff,-6,4,40,True,200,,,,,,,,,,,,,,
