dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
so2sat,intrinsic_dim,id_TwoNN_train,17.04067039489746,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,17,7304327569954373,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,17.114580154418945,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,17,7304327569954373,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,24.0,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,17,7304327569954373,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_TwoNN_train,16.859582901000977,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,17,7304327569954373,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,17.236135482788086,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,17,7304327569954373,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,24.0,0.0,0.0,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,17,7304327569954373,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,20.45291519165039,0.0,0.0,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,43,7304327569954373,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,21.64217185974121,0.0,0.0,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,43,7304327569954373,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,22.0,0.0,0.0,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,43,7304327569954373,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_TwoNN_train,24.275583267211914,0.0,0.0,1536,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,19,7304327569954373,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_MLE_train,18.813512802124023,0.0,0.0,1536,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,19,7304327569954373,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_lPCA_train,16.0,0.0,0.0,1536,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,19,7304327569954373,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,24.502010345458984,0.0,0.0,1536,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,10,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,18.305313110351562,0.0,0.0,1536,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,10,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,23.0,0.0,0.0,1536,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,10,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,1536,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,12,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_MLE_train,1.1418468952178955,0.0,0.0,1536,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,12,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_lPCA_train,20.0,0.0,0.0,1536,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,12,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_TwoNN_train,19.439722061157227,0.0,0.0,1536,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,15,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_MLE_train,16.733749389648438,0.0,0.0,1536,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,15,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_lPCA_train,32.0,0.0,0.0,1536,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,15,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_TwoNN_train,22.270278930664062,0.0,0.0,1536,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,2,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_MLE_train,16.883302688598633,0.0,0.0,1536,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,2,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_lPCA_train,20.0,0.0,0.0,1536,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,2,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,17.834012985229492,0.0,0.0,1536,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large,bandspec_zscore,224,bilinear,default,rgb,2,14e79a8079705ac3,-6,4,40,True,200,,,,,,,,,,,,,,
