dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-so2sat,intrinsic_dim,id_TwoNN_train,15.42264175415039,0.0,0.0,1792,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,17,ca1bc5533abd0cd5,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_MLE_train,15.770517349243164,0.0,0.0,1792,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,17,ca1bc5533abd0cd5,-6,4,40,True,200,,,,,,,,,,,,,,
m-so2sat,intrinsic_dim,id_lPCA_train,30.0,0.0,0.0,1792,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,17,ca1bc5533abd0cd5,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_TwoNN_train,21.061853408813477,0.0,0.0,1792,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,43,ca1bc5533abd0cd5,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_MLE_train,21.745380401611328,0.0,0.0,1792,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,43,ca1bc5533abd0cd5,-6,4,40,True,200,,,,,,,,,,,,,,
m-bigearthnet,intrinsic_dim,id_lPCA_train,36.0,0.0,0.0,1792,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,43,ca1bc5533abd0cd5,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_TwoNN_train,15.467122077941895,0.0,0.0,1792,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,17,ca1bc5533abd0cd5,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_MLE_train,15.884982109069824,0.0,0.0,1792,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,17,ca1bc5533abd0cd5,-6,4,40,True,200,,,,,,,,,,,,,,
so2sat,intrinsic_dim,id_lPCA_train,30.0,0.0,0.0,1792,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,17,ca1bc5533abd0cd5,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_TwoNN_train,24.018442153930664,0.0,0.0,1792,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,19,ca1bc5533abd0cd5,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_MLE_train,17.513574600219727,0.0,0.0,1792,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,19,ca1bc5533abd0cd5,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,intrinsic_dim,id_lPCA_train,25.0,0.0,0.0,1792,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,19,ca1bc5533abd0cd5,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_TwoNN_train,23.590871810913086,0.0,0.0,1792,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,10,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_MLE_train,16.345571517944336,0.0,0.0,1792,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,10,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
m-eurosat,intrinsic_dim,id_lPCA_train,40.0,0.0,0.0,1792,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,10,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,1792,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,12,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_MLE_train,1.3556641340255737,0.0,0.0,1792,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,12,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_lPCA_train,32.0,0.0,0.0,1792,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,12,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_TwoNN_train,,0.0,0.0,1792,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,12,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_MLE_train,1.3690392971038818,0.0,0.0,1792,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,12,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
forestnet,intrinsic_dim,id_lPCA_train,31.0,0.0,0.0,1792,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,12,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_TwoNN_train,20.07411766052246,0.0,0.0,1792,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,15,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_MLE_train,17.438634872436523,0.0,0.0,1792,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,15,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
treesatai,intrinsic_dim,id_lPCA_train,28.0,0.0,0.0,1792,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,15,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_TwoNN_train,22.889013290405273,0.0,0.0,1792,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,2,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_MLE_train,16.433542251586914,0.0,0.0,1792,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,2,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
m-pv4ger,intrinsic_dim,id_lPCA_train,34.0,0.0,0.0,1792,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,2,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_TwoNN_train,15.677453994750977,0.0,0.0,1792,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,2,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_MLE_train,19.707120895385742,0.0,0.0,1792,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,2,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
m-brick-kiln,intrinsic_dim,id_lPCA_train,30.0,0.0,0.0,1792,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,2,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_TwoNN_train,28.40334129333496,0.0,0.0,1792,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,10,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
eurosat-spatial,intrinsic_dim,id_MLE_train,21.579395294189453,0.0,0.0,1792,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b4,bandspec_zscore,224,bilinear,default,rgb,10,6619028fb422ceb2,-6,4,40,True,200,,,,,,,,,,,,,,
