dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
caffe,seg-conv_block,mIoU,0.5859634280204773,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.6053611040115356,0.718972384929657,0.7341041564941406,0.7150408029556274,,,,,,,,
caffe,seg-linear,mIoU,0.5764651298522949,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.6107565760612488,0.7036147117614746,0.725854754447937,0.7038781642913818,,,,,,,,
caffe,seg-fpn,mIoU,0.5814857482910156,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.5913591384887695,0.7402773499488831,0.7068467140197754,0.7119132876396179,,,,,,,,
caffe,seg-dpt,mIoU,0.5717230439186096,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.5876534581184387,0.7288099527359009,0.6960337162017822,0.6998246908187866,,,,,,,,
caffe,seg-linear,mIoU,0.5764637589454651,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.610754132270813,0.7036145925521851,0.7258539795875549,0.7038772106170654,,,,,,,,
caffe,seg-conv_block,mIoU,0.585963785648346,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.6053597331047058,0.7189722657203674,0.7341030836105347,0.7150415182113647,,,,,,,,
caffe,seg-fpn,mIoU,0.58216392993927,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.5921863913536072,0.7408910393714905,0.7073674201965332,0.712578296661377,,,,,,,,
caffe,seg-dpt,mIoU,0.5610093474388123,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.5783812999725342,0.720005214214325,0.6864070892333984,0.6892280578613281,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.610466718673706,0.0,0.0,960,,0.001,12,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.7410171627998352,0.7794924974441528,0.711601972579956,0.7352652549743652,,,,,,,,
cloudsen12,seg-linear,mIoU,0.5796153545379639,0.0,0.0,960,,0.001,12,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.7148827910423279,0.752566397190094,0.6872871518135071,0.7097698450088501,,,,,,,,
dynamic_earthnet,seg-conv_block,mIoU,0.2521962523460388,0.0,0.0,960,,0.001,12,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,7,,-6,4,40,True,200,,,0.3657058775424957,0.5017330646514893,0.3423408269882202,0.3669972419738769,,,,,,,,
dynamic_earthnet,seg-conv_block,mIoU,0.2866582870483398,0.0,0.0,960,,0.001,12,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,7,,-6,4,40,True,200,,,0.4396013021469116,0.5362618565559387,0.3902199268341064,0.4117679595947265,,,,,,,,
cloudsen12,seg-fpn,mIoU,0.6278650760650635,0.0,0.0,960,,0.001,12,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.75099778175354,0.7768815159797668,0.7355962991714478,0.7524598240852356,,,,,,,,
cloudsen12,seg-dpt,mIoU,0.6375749111175537,0.0,0.0,960,,0.001,12,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.7616126537322998,0.7878636121749878,0.740645170211792,0.7595421671867371,,,,,,,,
dynamic_earthnet,seg-dpt,mIoU,0.251399964094162,0.0,0.0,960,,0.001,12,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,7,,-6,4,40,True,200,,,0.3617593944072723,0.5000389814376831,0.3492970168590545,0.3701133728027344,,,,,,,,
dynamic_earthnet,seg-linear,mIoU,0.24944868683815,0.0,0.0,960,,0.001,12,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,7,,-6,4,40,True,200,,,0.3440974950790405,0.4560069441795349,0.3582562208175659,0.3698618412017822,,,,,,,,
dynamic_earthnet,seg-fpn,mIoU,0.2422626614570617,0.0,0.0,960,,0.001,12,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,7,,-6,4,40,True,200,,,0.3592222332954407,0.4846770763397217,0.3339974880218506,0.3523789048194885,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.6440156102180481,0.0,0.0,960,,0.001,12,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.7652708292007446,0.7921776175498962,0.7501190304756165,0.7672990560531616,,,,,,,,
dynamic_earthnet,seg-linear,mIoU,0.2769638895988464,0.0,0.0,960,,0.001,12,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,7,,-6,4,40,True,200,,,0.4246347844600677,0.5214014053344727,0.3796626925468445,0.401215136051178,,,,,,,,
dynamic_earthnet,seg-dpt,mIoU,0.2884575724601745,0.0,0.0,960,,0.001,12,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,7,,-6,4,40,True,200,,,0.4366617500782013,0.5192841291427612,0.3957463204860687,0.4168081283569336,,,,,,,,
dynamic_earthnet,seg-fpn,mIoU,0.2762279808521271,0.0,0.0,960,,0.001,12,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,7,,-6,4,40,True,200,,,0.4281928539276123,0.5262656807899475,0.3770285248756408,0.3985095024108886,,,,,,,,
cloudsen12,seg-linear,mIoU,0.6090875267982483,0.0,0.0,960,,0.001,12,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.739775538444519,0.7691373229026794,0.7157225012779236,0.7376853227615356,,,,,,,,
cloudsen12,seg-fpn,mIoU,0.6560885906219482,0.0,0.0,960,,0.001,12,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.7727971076965332,0.8004013299942017,0.76017165184021,0.7778336405754089,,,,,,,,
flair2,seg-conv_block,mIoU,0.4704339504241943,0.0,0.0,960,,0.001,12,4049,1022,3022,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,13,,-6,4,40,True,200,,,0.5263845324516296,0.6567337512969971,0.6199359893798828,0.6158998608589172,,,,,,,,
cloudsen12,seg-dpt,mIoU,0.6646462082862854,0.0,0.0,960,,0.001,12,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.7810255885124207,0.8016796112060547,0.7699583172798157,0.784256637096405,,,,,,,,
flair2,seg-conv_block,mIoU,0.4588682651519775,0.0,0.0,960,,0.001,12,4049,1022,3022,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,13,,-6,4,40,True,200,,,0.5118997097015381,0.660043478012085,0.6049004793167114,0.6079520583152771,,,,,,,,
