dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6360304503084968,0.6265695095062256,0.6449506282806396,384,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,7524ff0a168379ff,-6,4,40,True,200,,,,,,,0.04247899221158341,0.05726165569534427,0.27462467394377055,,,,,6
m-so2sat,knn5,accuracy,0.44523326572008115,0.41878804564476013,0.47261664271354675,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,7524ff0a168379ff,-6,4,40,True,200,,,,,,,0.18032540380954742,0.18284820020198822,0.21875125169754028,,,,,6
m-so2sat,linear,accuracy,0.6156186612576064,0.5870943069458008,0.6440415382385254,384,0.003888155180308085,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,7524ff0a168379ff,-6,4,40,True,200,,,,,,,0.058521121740341187,0.07187603414058685,0.13413673639297485,,,,,15
benv2,linear,micro_mAP,0.7666954068360022,0.7602478265762329,0.7738415598869324,384,0.022854638641349883,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,7524ff0a168379ff,-6,4,40,True,200,,,,,,,0.016446777343700984,0.031136373829978862,0.28976526856422424,,,,,15
so2sat,knn5,accuracy,0.44523326572008115,0.4177738428115845,0.4777129888534546,384,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,7524ff0a168379ff,-6,4,40,True,200,,,,,,,0.18032540380954742,0.18284820020198822,0.21875125169754028,,,,,6
so2sat,linear,accuracy,0.6156186612576064,0.5871957540512085,0.6521298289299011,384,0.003888155180308085,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,7524ff0a168379ff,-6,4,40,True,200,,,,,,,0.05918503552675247,0.07217570394277573,0.13102805614471436,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4830058892944834,0.4641498327255249,0.5019015073776245,384,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,7524ff0a168379ff,-6,4,40,True,200,,,,,,,0.03991630502305059,0.05804819938575113,0.3042567517868308,,,,,6
m-bigearthnet,linear,micro_mAP,0.6235239354295088,0.6074673533439636,0.6399025917053223,384,0.04124626382901348,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,7524ff0a168379ff,-6,4,40,True,200,,,,,,,0.018771828780340595,0.048853008163183234,0.47314189894254816,,,,,15
m-eurosat,knn5,accuracy,0.859,0.8329750299453735,0.8810749650001526,384,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,7524ff0a168379ff,-6,4,40,True,200,,,,,,,0.03659983351826668,0.0429341197013855,0.12459036707878113,,,,,6
m-eurosat,linear,accuracy,0.945,0.9299499988555908,0.9580000042915344,384,1.4251026703029963,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,7524ff0a168379ff,-6,4,40,True,200,,,,,,,0.02493808977305889,0.048425231128931046,0.34377941489219666,,,,,15
forestnet,knn5,accuracy,0.3766364551863041,0.3484390676021576,0.411908358335495,384,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_small_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,7524ff0a168379ff,-6,4,40,True,200,,,,,,,0.3001019358634949,0.32204559445381165,0.437452107667923,,,,,6
