dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6209689694249487,0.6129150390625,0.6300727128982544,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,19,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,0.04856061689114492,0.060521108588497886,0.24415369723972521,,,,,6
benv2,linear,micro_mAP,0.7707305062633765,0.7643399238586426,0.7773341536521912,1024,0.0744380301325168,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,19,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,0.015935580080718194,0.032245803256764224,0.26529080067810257,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4517098315841354,0.434652715921402,0.47077476978302,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,43,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,0.042106989597858385,0.05882229881231175,0.34049023202685424,,,,,6
m-bigearthnet,linear,micro_mAP,0.6349324825162355,0.6210196018218994,0.6481669545173645,1024,0.04124626382901348,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,43,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,0.020475012228585953,0.054250800072453746,0.4876429365817891,,,,,15
m-so2sat,knn5,accuracy,0.39858012170385393,0.3650861978530884,0.43415313959121704,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,0.20101499557495117,0.20732548832893372,0.2666666507720947,,,,,6
m-so2sat,linear,accuracy,0.6004056795131846,0.5669371485710144,0.633874237537384,1024,0.04124626382901348,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,0.05169260501861572,0.05819179490208626,0.09508625417947769,,,,,15
so2sat,knn5,accuracy,0.39858012170385393,0.3721602261066437,0.4300963282585144,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,0.20101499557495117,0.20732548832893372,0.2666666507720947,,,,,6
so2sat,linear,accuracy,0.6004056795131846,0.5719574093818665,0.630020260810852,1024,0.04124626382901348,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,6a6ec9ca6bac8d8a,-6,4,40,True,200,,,,,,,0.048233553767204285,0.0557694174349308,0.09505518525838852,,,,,15
m-eurosat,knn5,accuracy,0.722,0.69697505235672,0.748075008392334,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,10,deb75c45ed8b2bb4,-6,4,40,True,200,,,,,,,0.08180015534162521,0.08780302852392197,0.16363658010959625,,,,,6
m-eurosat,linear,accuracy,0.942,0.925000011920929,0.9580000042915344,1024,0.437547937507418,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,10,deb75c45ed8b2bb4,-6,4,40,True,200,,,,,,,0.020928528159856796,0.04271901398897171,0.19261908531188965,,,,,15
forestnet,knn5,accuracy,0.364551863041289,0.3353222608566284,0.3877391815185547,1024,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,12,deb75c45ed8b2bb4,-6,4,40,True,200,,,,,,,0.3224583864212036,0.333993524312973,0.4041450619697571,,,,,6
forestnet,linear,accuracy,0.5236656596173213,0.4934541881084442,0.5549849271774292,1024,0.007017038286703823,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,12,deb75c45ed8b2bb4,-6,4,40,True,200,,,,,,,0.049514614045619965,0.07502962648868561,0.3151404857635498,,,,,15
m-forestnet,knn5,accuracy,0.39274924471299094,0.3634944558143616,0.42500001192092896,1024,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_base_window8_256,bandspec_zscore,224,bilinear,default,rgb,12,deb75c45ed8b2bb4,-6,4,40,True,200,,,,,,,0.2954695522785187,0.31913453340530396,0.43953680992126465,,,,,6
