dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6039925645213922,0.5948284864425659,0.6131890416145325,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_small_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,19,226776770d3ccd8e,-6,4,40,True,200,,,,,,,0.04916590393373841,0.06315897316916992,0.24178403380670047,,,,,6
m-bigearthnet,knn5,micro_mAP,0.4475802489231395,0.4311998784542084,0.4635204076766968,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_small_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,226776770d3ccd8e,-6,4,40,True,200,,,,,,,0.041711638443345245,0.059588968104054764,0.31253899460615114,,,,,6
m-bigearthnet,linear,micro_mAP,0.6233008145607706,0.6055386662483215,0.6389045715332031,768,0.04124626382901348,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_small_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,226776770d3ccd8e,-6,4,40,True,200,,,,,,,0.020951969451595876,0.05640620577993781,0.5216418147780174,,,,,15
m-so2sat,knn5,accuracy,0.39148073022312374,0.36303243041038513,0.4209178686141968,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_small_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,226776770d3ccd8e,-6,4,40,True,200,,,,,,,0.20040631294250488,0.21800218522548676,0.3500009775161743,,,,,6
m-so2sat,linear,accuracy,0.5912778904665315,0.5598123669624329,0.6206896305084229,768,0.04124626382901348,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_small_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,226776770d3ccd8e,-6,4,40,True,200,,,,,,,0.036720193922519684,0.046610601246356964,0.18469522893428802,,,,,15
benv2,linear,micro_mAP,0.7682260120198292,0.7613856792449951,0.7757388353347778,768,0.022854638641349883,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_small_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,19,226776770d3ccd8e,-6,4,40,True,200,,,,,,,0.01600563352756006,0.030213981646260147,0.2368053895862479,,,,,15
so2sat,knn5,accuracy,0.39148073022312374,0.3640466332435608,0.4249492883682251,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_small_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,226776770d3ccd8e,-6,4,40,True,200,,,,,,,0.20040631294250488,0.21800218522548676,0.3500009775161743,,,,,6
so2sat,linear,accuracy,0.5851926977687627,0.556744396686554,0.6146551966667175,768,0.022854638641349883,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_small_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,226776770d3ccd8e,-6,4,40,True,200,,,,,,,0.037424832582473755,0.045174382627010345,0.18258005380630493,,,,,15
m-eurosat,knn5,accuracy,0.783,0.759975016117096,0.8029999732971191,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_small_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,335d411951b67991,-6,4,40,True,200,,,,,,,0.037399496883153915,0.04039802402257919,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.941,0.9259750247001648,0.9520000219345093,768,0.0744380301325168,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_small_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,335d411951b67991,-6,4,40,True,200,,,,,,,0.0407559908926487,0.05916745588183403,0.232435941696167,,,,,15
