dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.633481194541285,0.6248891949653625,0.64142906665802,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,19,e84ba8b1642bde88,-6,4,40,True,200,,,,,,,0.04435526814899946,0.05866476569912935,0.22368000369322927,,,,,6
m-so2sat,knn5,accuracy,0.41886409736308317,0.3894016146659851,0.45035499334335327,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,17,e84ba8b1642bde88,-6,4,40,True,200,,,,,,,0.18052802979946136,0.1893136352300644,0.27305519580841064,,,,,6
m-so2sat,linear,accuracy,0.6257606490872211,0.5943204760551453,0.654183566570282,1024,0.0003665241237079626,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,17,e84ba8b1642bde88,-6,4,40,True,200,,,,,,,0.15085531771183014,0.16489240527153015,0.253947913646698,,,,,15
so2sat,knn5,accuracy,0.41886409736308317,0.38937628269195557,0.45035499334335327,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,17,e84ba8b1642bde88,-6,4,40,True,200,,,,,,,0.18052802979946136,0.1893136352300644,0.27305519580841064,,,,,6
so2sat,linear,accuracy,0.6257606490872211,0.5932048559188843,0.6582403182983398,1024,0.0003665241237079626,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,17,e84ba8b1642bde88,-6,4,40,True,200,,,,,,,0.15034142136573792,0.16393320262432098,0.2559477686882019,,,,,15
m-bigearthnet,knn5,micro_mAP,0.47791846800511145,0.46301043033599854,0.4934973418712616,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,43,e84ba8b1642bde88,-6,4,40,True,200,,,,,,,0.03828838090737199,0.05698003593918889,0.3058759549329447,,,,,6
m-bigearthnet,linear,micro_mAP,0.6550653382673997,0.640180766582489,0.67083740234375,1024,0.007017038286703823,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,43,e84ba8b1642bde88,-6,4,40,True,200,,,,,,,0.018805621051077925,0.049869807047206303,0.4183785918840142,,,,,15
benv2,linear,micro_mAP,0.7843309859116826,0.7780836820602417,0.7905638217926025,1024,0.003888155180308085,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,19,e84ba8b1642bde88,-6,4,40,True,200,,,,,,,0.0165345852974018,0.029844531617862612,0.21266289212201772,,,,,15
m-eurosat,knn5,accuracy,0.805,0.781000018119812,0.828000009059906,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,10,94b1861208a0dc50,-6,4,40,True,200,,,,,,,0.03899938985705376,0.048360202461481094,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.942,0.926925003528595,0.9539999961853027,1024,0.13433993325988988,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,10,94b1861208a0dc50,-6,4,40,True,200,,,,,,,0.013726293109357357,0.0352938137948513,0.2475288063287735,,,,,15
forestnet,knn5,accuracy,0.3867069486404834,0.3564954698085785,0.41696879267692566,1024,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,12,94b1861208a0dc50,-6,4,40,True,200,,,,,,,0.32145145535469055,0.3261639177799225,0.3862089216709137,,,,,6
forestnet,linear,accuracy,0.540785498489426,0.509441077709198,0.5711228847503662,1024,0.003888155180308085,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,12,94b1861208a0dc50,-6,4,40,True,200,,,,,,,0.04078323021531105,0.04947085678577423,0.10300296545028687,,,,,15
m-brick-kiln,knn5,accuracy,0.914914914914915,0.8968968987464905,0.9299299120903015,1024,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_base,bandspec_zscore,224,bilinear,default,rgb,2,94b1861208a0dc50,-6,4,40,True,200,,,,,,,0.027026627212762833,0.035676613450050354,0.07373583316802979,,,,,6
