dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6259504429036482,0.6161554455757141,0.634181022644043,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,19,08a7bd7ed7888ead,-6,4,40,True,200,,,,,,,0.04386583667272996,0.057663370904169585,0.2250770008877704,,,,,6
m-so2sat,knn5,accuracy,0.39046653144016225,0.3610040545463562,0.4168356955051422,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,17,08a7bd7ed7888ead,-6,4,40,True,200,,,,,,,0.237932026386261,0.24939782917499542,0.3614988327026367,,,,,6
m-so2sat,linear,accuracy,0.5892494929006086,0.560775876045227,0.6207656860351562,1024,0.04124626382901348,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,17,08a7bd7ed7888ead,-6,4,40,True,200,,,,,,,0.07760574668645859,0.10434301197528839,0.8016668558120728,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4653137154533519,0.44851815700531006,0.4825475513935089,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,43,08a7bd7ed7888ead,-6,4,40,True,200,,,,,,,0.04097674423178961,0.05750035416594772,0.2887040168740029,,,,,6
m-bigearthnet,linear,micro_mAP,0.6067192595466679,0.5913063287734985,0.6226577758789062,1024,0.022854638641349883,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,43,08a7bd7ed7888ead,-6,4,40,True,200,,,,,,,0.019851104507959166,0.0507408125802528,0.4764040854088096,,,,,15
so2sat,knn5,accuracy,0.39046653144016225,0.3620435893535614,0.4229208827018738,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,17,08a7bd7ed7888ead,-6,4,40,True,200,,,,,,,0.237932026386261,0.24939782917499542,0.3614988327026367,,,,,6
so2sat,linear,accuracy,0.5892494929006086,0.5618661046028137,0.6227180361747742,1024,0.04124626382901348,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,17,08a7bd7ed7888ead,-6,4,40,True,200,,,,,,,0.08079884946346283,0.10677836090326309,0.8026868104934692,,,,,15
benv2,linear,micro_mAP,0.7624588435875743,0.754672646522522,0.7696661353111267,1024,0.012663801734674022,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,19,08a7bd7ed7888ead,-6,4,40,True,200,,,,,,,0.016116790816579993,0.03046811668594417,0.24545871740893313,,,,,15
m-eurosat,knn5,accuracy,0.815,0.7899250388145447,0.8400249481201172,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,10,b72eb862eeaa2023,-6,4,40,True,200,,,,,,,0.035400062799453735,0.03900742903351784,0.30000001192092896,,,,,6
m-eurosat,linear,accuracy,0.928,0.9079750180244446,0.9440000057220459,1024,2.5719138090593416,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,10,b72eb862eeaa2023,-6,4,40,True,200,,,,,,,0.029597055166959763,0.06277930736541748,0.44213756918907166,,,,,15
eurosat-spatial,knn5,accuracy,0.8472222222222222,0.8394444584846497,0.8570370078086853,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,10,b72eb862eeaa2023,-6,4,40,True,200,,,,,,,0.03881436213850975,0.04198126494884491,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9337037037037037,0.9266481399536133,0.940375030040741,1024,0.04124626382901348,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,10,b72eb862eeaa2023,-6,4,40,True,200,,,,,,,0.01605844497680664,0.034111201763153076,0.14227566123008728,,,,,15
m-brick-kiln,knn5,accuracy,0.965965965965966,0.9549049139022827,0.9760010242462158,1024,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,2,b72eb862eeaa2023,-6,4,40,True,200,,,,,,,0.02402394264936447,0.045401353389024734,0.1857140064239502,,,,,6
m-brick-kiln,linear,accuracy,0.964964964964965,0.9549299478530884,0.9759759902954102,1024,0.003888155180308085,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,mobilenetv3_small_100,bandspec_zscore,224,bilinear,default,rgb,2,b72eb862eeaa2023,-6,4,40,True,200,,,,,,,0.014247740618884563,0.033411335200071335,0.1496543288230896,,,,,15
