dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6199773039892412,0.611606240272522,0.6294835209846497,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,19,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,0.04960269572237801,0.06257720784235157,0.2528516532559144,,,,,6
m-so2sat,knn5,accuracy,0.35699797160243407,0.33062881231307983,0.3915061056613922,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,0.25862160325050354,0.268370121717453,0.32298988103866577,,,,,6
m-so2sat,linear,accuracy,0.5882352941176471,0.5587981939315796,0.6187120079994202,768,0.0011937766417144358,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,0.1796167641878128,0.1853581666946411,0.31342488527297974,,,,,15
so2sat,knn5,accuracy,0.35699797160243407,0.3306034505367279,0.3874492943286896,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,0.25862160325050354,0.268370121717453,0.32298988103866577,,,,,6
so2sat,linear,accuracy,0.5912778904665315,0.5598376989364624,0.6257860064506531,768,0.0011937766417144358,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,0.18256640434265137,0.1884244680404663,0.327023983001709,,,,,15
m-bigearthnet,knn5,micro_mAP,0.45438897312534327,0.43652433156967163,0.47101765871047974,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,0.04376279804205825,0.06354376574068568,0.3677489577337753,,,,,6
m-bigearthnet,linear,micro_mAP,0.6322517039634721,0.6161642074584961,0.6465527415275574,768,0.022854638641349883,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,0.02044787564379878,0.05628852814782497,0.4845333189465279,,,,,15
benv2,linear,micro_mAP,0.7741231761034919,0.7663845419883728,0.7801467776298523,768,0.022854638641349883,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,19,213ccedfc26b83a5,-6,4,40,True,200,,,,,,,0.01566009757439851,0.031851623207330704,0.257647294747202,,,,,15
forestnet,knn5,accuracy,0.3675730110775428,0.3363041281700134,0.39378148317337036,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,12,41ada2adce79a74a,-6,4,40,True,200,,,,,,,0.34682902693748474,0.3584517240524292,0.42745307087898254,,,,,6
forestnet,linear,accuracy,0.5317220543806647,0.49743202328681946,0.5649798512458801,768,0.002154434690031882,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,12,41ada2adce79a74a,-6,4,40,True,200,,,,,,,0.0660410076379776,0.08325323462486267,0.20063531398773193,,,,,15
m-eurosat,knn5,accuracy,0.747,0.723924994468689,0.7689999938011169,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,41ada2adce79a74a,-6,4,40,True,200,,,,,,,0.07980005443096161,0.08706002682447433,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.949,0.9369999766349792,0.9610000252723694,768,0.0744380301325168,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,41ada2adce79a74a,-6,4,40,True,200,,,,,,,0.04849790781736374,0.07496810704469681,0.755656898021698,,,,,15
m-brick-kiln,knn5,accuracy,0.934934934934935,0.9198698401451111,0.9489489197731018,768,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,2,41ada2adce79a74a,-6,4,40,True,200,,,,,,,0.015815643593668938,0.028047872707247734,0.07289779186248779,,,,,6
m-brick-kiln,linear,accuracy,0.96996996996997,0.9589589834213257,0.9799799919128418,768,0.007017038286703823,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,2,41ada2adce79a74a,-6,4,40,True,200,,,,,,,0.023835796862840652,0.04569146782159805,0.2968817353248596,,,,,15
m-forestnet,knn5,accuracy,0.4108761329305136,0.37759312987327576,0.44010573625564575,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,12,41ada2adce79a74a,-6,4,40,True,200,,,,,,,0.30231744050979614,0.3100700080394745,0.3655756413936615,,,,,6
m-forestnet,linear,accuracy,0.5367573011077543,0.5095165967941284,0.5659617185592651,768,0.003888155180308085,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,12,41ada2adce79a74a,-6,4,40,True,200,,,,,,,0.04549232870340347,0.055593084543943405,0.17909932136535645,,,,,15
treesatai,knn5,micro_mAP,0.4055726576175839,0.39052680134773254,0.41989782452583313,768,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_tiny_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,15,41ada2adce79a74a,-6,4,40,True,200,,,,,,,0.07155331217994293,0.09305942729115486,0.4179759015639623,,,,,6
