dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6251516692420043,0.6161099672317505,0.6334832906723022,1536,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,19,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,0.04381062461700486,0.055660418381816464,0.20493408410172714,,,,,6
m-so2sat,knn5,accuracy,0.4056795131845842,0.37423935532569885,0.43514201045036316,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,0.19979771971702576,0.21509996056556702,0.32679736614227295,,,,,6
m-so2sat,linear,accuracy,0.640973630831643,0.6135141849517822,0.6703854203224182,1536,0.04124626382901348,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,0.03213923051953316,0.05077012628316879,0.18128547072410583,,,,,15
so2sat,knn5,accuracy,0.4056795131845842,0.3772565722465515,0.4330882430076599,1536,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,0.19979771971702576,0.21509996056556702,0.32679736614227295,,,,,6
so2sat,linear,accuracy,0.640973630831643,0.6146044731140137,0.6734787225723267,1536,0.04124626382901348,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,0.032190605998039246,0.04992632195353508,0.1863621026277542,,,,,15
benv2,linear,micro_mAP,0.7818054807817578,0.7756838202476501,0.7887712121009827,1536,0.022854638641349883,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,19,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,0.015878212353288148,0.029878220386116913,0.24125547393372185,,,,,15
m-bigearthnet,knn5,micro_mAP,0.46804280290389566,0.450196236371994,0.48379945755004883,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,0.04060930902744795,0.057297779290482055,0.3271956911613775,,,,,6
m-bigearthnet,linear,micro_mAP,0.6581165959446156,0.6428071856498718,0.67415452003479,1536,0.04124626382901348,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,93f11fedfaf6780d,-6,4,40,True,200,,,,,,,0.018876061179177013,0.05388372304827668,0.504070753274962,,,,,15
m-eurosat,knn5,accuracy,0.761,0.7329750061035156,0.7840249538421631,1536,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,0e2ca425dad21e0d,-6,4,40,True,200,,,,,,,0.05080008506774902,0.05182076618075371,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.938,0.9229750037193298,0.953000009059906,1536,0.0744380301325168,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,0e2ca425dad21e0d,-6,4,40,True,200,,,,,,,0.04358847811818123,0.06788318604230881,0.4288763403892517,,,,,15
m-forestnet,knn5,accuracy,0.3756294058408862,0.3494461178779602,0.40183788537979126,1536,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,12,0e2ca425dad21e0d,-6,4,40,True,200,,,,,,,0.31399932503700256,0.33110424876213074,0.43374672532081604,,,,,6
m-forestnet,linear,accuracy,0.5639476334340383,0.541742205619812,0.5911379456520081,1536,0.003888155180308085,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,12,0e2ca425dad21e0d,-6,4,40,True,200,,,,,,,0.0821952372789383,0.0921182632446289,0.14240890741348267,,,,,15
m-pv4ger,knn5,accuracy,0.960960960960961,0.9509259462356567,0.9719719886779785,1536,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,2,0e2ca425dad21e0d,-6,4,40,True,200,,,,,,,0.020620573312044144,0.02530655451118946,0.09444421529769897,,,,,6
m-pv4ger,linear,accuracy,0.9669669669669669,0.955955982208252,0.9770020246505737,1536,5541.020330009481,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,2,0e2ca425dad21e0d,-6,4,40,True,200,,,,,,,0.032877348363399506,0.0751909464597702,0.4683598279953003,,,,,15
m-brick-kiln,knn5,accuracy,0.9219219219219219,0.9068818688392639,0.9329579472541809,1536,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,swin_large_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,2,0e2ca425dad21e0d,-6,4,40,True,200,,,,,,,0.02522512897849083,0.030898526310920715,0.05891549587249756,,,,,6
