dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
caffe,seg-linear,mIoU,0.5908136367797852,0.0,0.0,2880,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.6078802347183228,0.741447389125824,0.7233355641365051,0.7186973094940186,,,,,,,,
caffe,seg-conv_block,mIoU,0.6098134517669678,0.0,0.0,2880,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.6100547313690186,0.7586453557014465,0.7438884377479553,0.7369489669799805,,,,,,,,
caffe,seg-fpn,mIoU,0.6101629734039307,0.0,0.0,2880,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.5972785949707031,0.7573543787002563,0.7495441436767578,0.7362866997718811,,,,,,,,
caffe,seg-conv_block,mIoU,0.6088440418243408,0.0,0.0,2880,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.6103072166442871,0.7579668164253235,0.7424564957618713,0.7360841035842896,,,,,,,,
caffe,seg-linear,mIoU,0.5908099412918091,0.0,0.0,2880,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.6078757643699646,0.7414544820785522,0.7233258485794067,0.7186934351921082,,,,,,,,
caffe,seg-fpn,mIoU,0.6101402640342712,0.0,0.0,2880,,0.001,8,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.5971729159355164,0.7570782899856567,0.7495604753494263,0.7362736463546753,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.627500593662262,0.0,0.0,2880,,0.001,8,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.7516629099845886,0.7767441868782043,0.7365952730178833,0.7521950006484985,,,,,,,,
cloudsen12,seg-fpn,mIoU,0.6436880826950073,0.0,0.0,2880,,0.001,8,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.7613122463226318,0.7880884408950806,0.7507278919219971,0.7666922211647034,,,,,,,,
cloudsen12,seg-linear,mIoU,0.6058878898620605,0.0,0.0,2880,,0.001,8,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.733391284942627,0.7638903856277466,0.7156501412391663,0.7348071932792664,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.6549912095069885,0.0,0.0,2880,,0.001,8,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.7722576260566711,0.7961664199829102,0.7623119354248047,0.7772887349128723,,,,,,,,
dynamic_earthnet,seg-conv_block,mIoU,0.2635208368301391,0.0,0.0,2880,,0.001,8,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,7,,-6,4,40,True,200,,,0.3826891183853149,0.5232762098312378,0.3671979606151581,0.3747755587100982,,,,,,,,
cloudsen12,seg-fpn,mIoU,0.6644731760025024,0.0,0.0,2880,,0.001,8,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.7774516940116882,0.8021143674850464,0.7718455791473389,0.7854018211364746,,,,,,,,
dynamic_earthnet,seg-conv_block,mIoU,0.3247420191764831,0.0,0.0,2880,,0.001,8,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,7,,-6,4,40,True,200,,,0.4331586360931396,0.5755707025527954,0.4229124784469604,0.4588660597801208,,,,,,,,
dynamic_earthnet,seg-fpn,mIoU,0.2717036008834839,0.0,0.0,2880,,0.001,8,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,7,,-6,4,40,True,200,,,0.3876548707485199,0.5145628452301025,0.3719604611396789,0.3848508298397064,,,,,,,,
