dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
caffe,seg-conv_block,mIoU,0.5448116064071655,0.0,0.0,2816,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.5628069639205933,0.7052178382873535,0.6756023168563843,0.6734233498573303,,,,,,,,
caffe,seg-dpt,mIoU,0.1025839745998382,0.0,0.0,2816,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.1683755367994308,0.1025839671492576,0.25,0.1454745233058929,,,,,,,,
caffe,seg-linear,mIoU,0.533276379108429,0.0,0.0,2816,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.5568575263023376,0.6914722919464111,0.6664283275604248,0.660354495048523,,,,,,,,
caffe,seg-fpn,mIoU,0.5490045547485352,0.0,0.0,2816,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.5562418103218079,0.7168731093406677,0.6846654415130615,0.6780731678009033,,,,,,,,
caffe,seg-conv_block,mIoU,0.5448312759399414,0.0,0.0,2816,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.5628315210342407,0.7052290439605713,0.6756145358085632,0.6734440326690674,,,,,,,,
caffe,seg-fpn,mIoU,0.5488244295120239,0.0,0.0,2816,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.5561704039573669,0.7163822650909424,0.6847169399261475,0.6778924465179443,,,,,,,,
caffe,seg-dpt,mIoU,0.5370639562606812,0.0,0.0,2816,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.5450423955917358,0.704451322555542,0.6738868951797485,0.664383053779602,,,,,,,,
caffe,seg-linear,mIoU,0.5332854986190796,0.0,0.0,2816,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,rgb,4,,-6,4,40,True,200,,,0.5568677186965942,0.6914749145507812,0.6664397716522217,0.6603647470474243,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.6182529926300049,0.0,0.0,2816,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.7425624132156372,0.7717379331588745,0.7275099754333496,0.7452270984649658,,,,,,,,
cloudsen12,seg-dpt,mIoU,0.6233512759208679,0.0,0.0,2816,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,all,4,,-6,4,40,True,200,,,0.7461117506027222,0.7714583873748779,0.7344342470169067,0.750428318977356,,,,,,,,
