dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6070159850030565,0.5984912514686584,0.615566611289978,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_base_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,19,b8e82f8341eb4519,-6,4,40,True,200,,,,,,,0.04806589113401347,0.06124524973136814,0.23714861273765564,,,,,6
m-bigearthnet,knn5,micro_mAP,0.4602876322702411,0.4451531171798706,0.4777286946773529,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_base_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,b8e82f8341eb4519,-6,4,40,True,200,,,,,,,0.040651173114256804,0.057408127197346025,0.3378113151289696,,,,,6
m-bigearthnet,linear,micro_mAP,0.6376257125416109,0.6217437386512756,0.6518030166625977,1024,0.022854638641349883,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_base_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,43,b8e82f8341eb4519,-6,4,40,True,200,,,,,,,0.020644747316404137,0.053740785045679224,0.469156252090321,,,,,15
m-so2sat,knn5,accuracy,0.37322515212981744,0.34776875376701355,0.4067190885543823,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_base_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,b8e82f8341eb4519,-6,4,40,True,200,,,,,,,0.21318519115447998,0.2197072058916092,0.2935076355934143,,,,,6
m-so2sat,linear,accuracy,0.6105476673427992,0.5800963640213013,0.6391733884811401,1024,0.007017038286703823,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_base_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,b8e82f8341eb4519,-6,4,40,True,200,,,,,,,0.09038747847080231,0.10444603860378265,0.21840861439704895,,,,,15
benv2,linear,micro_mAP,0.7718650480665846,0.7653354406356812,0.7786443829536438,1024,0.012663801734674022,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_base_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,19,b8e82f8341eb4519,-6,4,40,True,200,,,,,,,0.016373990213890608,0.030763243815224422,0.25803721774565547,,,,,15
so2sat,knn5,accuracy,0.37322515212981744,0.34477686882019043,0.4077586233615875,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_base_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,b8e82f8341eb4519,-6,4,40,True,200,,,,,,,0.21318519115447998,0.2197072058916092,0.2935076355934143,,,,,6
so2sat,linear,accuracy,0.6105476673427992,0.5821501016616821,0.6430020332336426,1024,0.007017038286703823,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swin_base_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,17,b8e82f8341eb4519,-6,4,40,True,200,,,,,,,0.0904146134853363,0.10548646748065948,0.23725374042987823,,,,,15
m-eurosat,knn5,accuracy,0.782,0.7570000290870667,0.8050500154495239,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_base_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,a9e754d623caa743,-6,4,40,True,200,,,,,,,0.03680043667554855,0.04109222814440727,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.943,0.9269999861717224,0.9570000171661377,1024,0.437547937507418,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swin_base_patch4_window7_224,bandspec_zscore,224,bilinear,default,rgb,10,a9e754d623caa743,-6,4,40,True,200,,,,,,,0.013995439745485783,0.04302576184272766,0.36436232924461365,,,,,15
