dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5967017366225591,0.5862436890602112,0.605930745601654,4096,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,19,fec976fec092c1d6,-6,4,40,True,200,,,,,,,0.048826354273938034,0.062313202768564224,0.2346365734150535,,,,,6
m-so2sat,knn5,accuracy,0.3509127789046653,0.32147565484046936,0.3803245425224304,4096,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,17,fec976fec092c1d6,-6,4,40,True,200,,,,,,,0.2653154134750366,0.2715716063976288,0.3606950342655182,,,,,6
m-so2sat,linear,accuracy,0.5466531440162272,0.517241358757019,0.5811359286308289,4096,0.012663801734674022,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,17,fec976fec092c1d6,-6,4,40,True,200,,,,,,,0.05603201314806938,0.06620881706476212,0.18567880988121033,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4254608485348688,0.40601634979248047,0.44375160336494446,4096,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,43,fec976fec092c1d6,-6,4,40,True,200,,,,,,,0.043651183828884776,0.06067222530065581,0.35341202675603156,,,,,6
m-bigearthnet,linear,micro_mAP,0.5939815359553541,0.5764110088348389,0.6113029718399048,4096,0.012663801734674022,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,43,fec976fec092c1d6,-6,4,40,True,200,,,,,,,0.018548819810411957,0.047368963790494344,0.4552985294613727,,,,,15
so2sat,knn5,accuracy,0.3509127789046653,0.3255324363708496,0.3762931227684021,4096,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,17,fec976fec092c1d6,-6,4,40,True,200,,,,,,,0.26511257886886597,0.2715549170970917,0.3632197678089142,,,,,6
so2sat,linear,accuracy,0.5466531440162272,0.5192190408706665,0.5750507116317749,4096,0.012663801734674022,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,17,fec976fec092c1d6,-6,4,40,True,200,,,,,,,0.05489166080951691,0.06692036986351013,0.18642234802246094,,,,,15
benv2,linear,micro_mAP,0.749624686589428,0.7421516180038452,0.7570608854293823,4096,0.012663801734674022,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,19,fec976fec092c1d6,-6,4,40,True,200,,,,,,,0.016631140851562743,0.030689037821598743,0.2593490646073693,,,,,15
eurosat-spatial,knn5,accuracy,0.8244444444444444,0.8151851892471313,0.8357499837875366,4096,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,10,fec976fec092c1d6,-6,4,40,True,200,,,,,,,0.04411057382822037,0.04462740197777748,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9081481481481481,0.9012916684150696,0.9151944518089294,4096,0.012663801734674022,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vgg19,bandspec_zscore,224,bilinear,default,rgb,10,fec976fec092c1d6,-6,4,40,True,200,,,,,,,0.01435505785048008,0.024834508076310158,0.24071422219276428,,,,,15
