dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6198291947110398,0.610535204410553,0.6282424926757812,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,19,76cf11007391a34b,-6,4,40,True,200,,,,,,,0.04940271252570184,0.06096786740971239,0.2257605289158068,,,,,6
m-bigearthnet,knn5,micro_mAP,0.4535878499230716,0.43655744194984436,0.47111037373542786,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,43,76cf11007391a34b,-6,4,40,True,200,,,,,,,0.04337675150397212,0.061016856627755384,0.345891930336176,,,,,6
m-bigearthnet,linear,micro_mAP,0.64117355498152,0.6248630881309509,0.6567893624305725,768,0.04124626382901348,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,43,76cf11007391a34b,-6,4,40,True,200,,,,,,,0.01933300002413087,0.0511585607864829,0.44965329073196236,,,,,15
m-so2sat,knn5,accuracy,0.372210953346856,0.3417596220970154,0.4036511182785034,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,76cf11007391a34b,-6,4,40,True,200,,,,,,,0.23225204646587372,0.240386962890625,0.3219178318977356,,,,,6
m-so2sat,linear,accuracy,0.5699797160243407,0.534432053565979,0.607530415058136,768,0.0011937766417144358,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,76cf11007391a34b,-6,4,40,True,200,,,,,,,0.22880777716636658,0.2390701174736023,0.3071727752685547,,,,,15
so2sat,knn5,accuracy,0.372210953346856,0.3468559980392456,0.40471604466438293,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,76cf11007391a34b,-6,4,40,True,200,,,,,,,0.23225204646587372,0.240386962890625,0.3219178318977356,,,,,6
so2sat,linear,accuracy,0.5709939148073022,0.5405172109603882,0.6024594306945801,768,0.0011937766417144358,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,17,76cf11007391a34b,-6,4,40,True,200,,,,,,,0.2300185114145279,0.2403770536184311,0.3050714433193207,,,,,15
benv2,linear,micro_mAP,0.7697368234110618,0.7621018886566162,0.7770453095436096,768,0.022854638641349883,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,19,76cf11007391a34b,-6,4,40,True,200,,,,,,,0.01714468533540831,0.033110007190292605,0.2818240946845004,,,,,15
forestnet,knn5,accuracy,0.37865055387714,0.3494209349155426,0.40888720750808716,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,12,b530e296e759a4b9,-6,4,40,True,200,,,,,,,0.34300217032432556,0.3589761257171631,0.4428591728210449,,,,,6
forestnet,linear,accuracy,0.5438066465256798,0.5115559101104736,0.5760825872421265,768,0.007017038286703823,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,12,b530e296e759a4b9,-6,4,40,True,200,,,,,,,0.044964466243982315,0.05385122448205948,0.1234092116355896,,,,,15
m-eurosat,knn5,accuracy,0.761,0.7349250316619873,0.7820249795913696,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,10,b530e296e759a4b9,-6,4,40,True,200,,,,,,,0.049000125378370285,0.057750020176172256,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.928,0.9149500131607056,0.9440249800682068,768,0.437547937507418,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,10,b530e296e759a4b9,-6,4,40,True,200,,,,,,,0.014518460258841515,0.04041146859526634,0.271761029958725,,,,,15
m-forestnet,knn5,accuracy,0.3867069486404834,0.3514098525047302,0.41694360971450806,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,swinv2_tiny_window8_256,bandspec_zscore,224,bilinear,default,rgb,12,b530e296e759a4b9,-6,4,40,True,200,,,,,,,0.3194374442100525,0.3315260708332062,0.429895281791687,,,,,6
