dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.614301954654142,0.603712797164917,0.6237540245056152,368,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,19,c040195d5a3b8513,-6,4,40,True,200,,,,,,,0.04501844790617102,0.05905743614819489,0.2271513907532943,,,,,6
m-bigearthnet,knn5,micro_mAP,0.4595013149510301,0.4420459270477295,0.4779545068740845,368,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,43,c040195d5a3b8513,-6,4,40,True,200,,,,,,,0.041562793462342304,0.059849723870324535,0.32227023015188616,,,,,6
m-bigearthnet,linear,micro_mAP,0.5888197084278938,0.5728023052215576,0.6044731140136719,368,0.04124626382901348,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,43,c040195d5a3b8513,-6,4,40,True,200,,,,,,,0.020534482264761313,0.052873520830342934,0.503582953713661,,,,,15
benv2,linear,micro_mAP,0.7446195344186907,0.7365884780883789,0.7521027326583862,368,0.022854638641349883,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,19,c040195d5a3b8513,-6,4,40,True,200,,,,,,,0.016199305273690505,0.03127709692834239,0.2581789571987955,,,,,15
m-so2sat,knn5,accuracy,0.3803245436105477,0.3529411852359772,0.4107758700847626,368,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,17,c040195d5a3b8513,-6,4,40,True,200,,,,,,,0.22069032490253448,0.22734637558460236,0.3204692304134369,,,,,6
m-so2sat,linear,accuracy,0.5760649087221096,0.5375000238418579,0.6044625043869019,368,0.012663801734674022,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,17,c040195d5a3b8513,-6,4,40,True,200,,,,,,,0.046481963247060776,0.06263606250286102,0.11747187376022339,,,,,15
so2sat,knn5,accuracy,0.3803245436105477,0.35491883754730225,0.40978702902793884,368,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,17,c040195d5a3b8513,-6,4,40,True,200,,,,,,,0.22069032490253448,0.22734637558460236,0.3204692304134369,,,,,6
so2sat,linear,accuracy,0.5760649087221096,0.5516988039016724,0.6025101542472839,368,0.012663801734674022,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,17,c040195d5a3b8513,-6,4,40,True,200,,,,,,,0.043893951922655106,0.059587713330984116,0.1116754412651062,,,,,15
m-eurosat,knn5,accuracy,0.859,0.8378999829292297,0.8809999823570251,368,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,10,410b94eb42334b6a,-6,4,40,True,200,,,,,,,0.04119954630732536,0.052634622901678085,0.10624843835830688,,,,,6
m-eurosat,linear,accuracy,0.938,0.9240000247955322,0.9509999752044678,368,0.04124626382901348,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,10,410b94eb42334b6a,-6,4,40,True,200,,,,,,,0.04728076979517937,0.0644337460398674,0.1895294487476349,,,,,15
eurosat-spatial,knn5,accuracy,0.862037037037037,0.8520045876502991,0.8703750371932983,368,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,10,410b94eb42334b6a,-6,4,40,True,200,,,,,,,0.02751687355339527,0.02994067408144474,0.04999999701976776,,,,,6
eurosat-spatial,linear,accuracy,0.9381481481481482,0.9322083592414856,0.9446296095848083,368,0.13433993325988988,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,10,410b94eb42334b6a,-6,4,40,True,200,,,,,,,0.0056073302403092384,0.015261845663189888,0.18936190009117126,,,,,15
forestnet,knn5,accuracy,0.3826787512588117,0.35241690278053284,0.40989425778388977,368,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,12,410b94eb42334b6a,-6,4,40,True,200,,,,,,,0.3172219395637512,0.3285038471221924,0.4224599003791809,,,,,6
forestnet,linear,accuracy,0.5226586102719033,0.49035751819610596,0.5548841953277588,368,0.007017038286703823,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,regnetx_002,bandspec_zscore,224,bilinear,default,rgb,12,410b94eb42334b6a,-6,4,40,True,200,,,,,,,0.0379347950220108,0.05546850338578224,0.3169630169868469,,,,,15
