dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5717041986752005,0.562835156917572,0.5795178413391113,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,19,347e336ceb3f9ec1,-6,4,40,True,200,,,,,,,0.051576372805835775,0.06853315680238761,0.28727364853808757,,,,,6
m-so2sat,knn5,accuracy,0.3002028397565923,0.27279409766197205,0.3316683769226074,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,17,347e336ceb3f9ec1,-6,4,40,True,200,,,,,,,0.3253559172153473,0.3535563051700592,0.5094339847564697,,,,,6
m-so2sat,linear,accuracy,0.4716024340770791,0.43907201290130615,0.5031693577766418,2048,0.007017038286703823,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,17,347e336ceb3f9ec1,-6,4,40,True,200,,,,,,,0.06158358231186867,0.08361747860908508,0.2105817049741745,,,,,15
m-bigearthnet,knn5,micro_mAP,0.36522723949793706,0.3503675162792206,0.3848220407962799,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,43,347e336ceb3f9ec1,-6,4,40,True,200,,,,,,,0.05226514442975438,0.07245781549880671,0.40902296089848805,,,,,6
m-bigearthnet,linear,micro_mAP,0.5213066277390904,0.5014664530754089,0.5409793257713318,2048,0.012663801734674022,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,43,347e336ceb3f9ec1,-6,4,40,True,200,,,,,,,0.021333819991627406,0.04851137257592623,0.48855292381242266,,,,,15
benv2,linear,micro_mAP,0.7189338090219616,0.7106701135635376,0.726304829120636,2048,0.007017038286703823,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,19,347e336ceb3f9ec1,-6,4,40,True,200,,,,,,,0.01933121172662236,0.033357870679250674,0.2536402685861838,,,,,15
so2sat,knn5,accuracy,0.3002028397565923,0.2737829387187958,0.3296906650066376,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,17,347e336ceb3f9ec1,-6,4,40,True,200,,,,,,,0.3253559172153473,0.3535563051700592,0.5094339847564697,,,,,6
so2sat,linear,accuracy,0.473630831643002,0.44419369101524353,0.5030679106712341,2048,0.007017038286703823,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,17,347e336ceb3f9ec1,-6,4,40,True,200,,,,,,,0.059813421219587326,0.08041603118181229,0.1843661516904831,,,,,15
m-eurosat,knn5,accuracy,0.747,0.7219750285148621,0.7710250020027161,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,10,8bb738b424a3d038,-6,4,40,True,200,,,,,,,0.03500037267804146,0.040591295808553696,0.057142868638038635,,,,,6
m-eurosat,linear,accuracy,0.856,0.8339499831199646,0.8760499954223633,2048,2.5719138090593416,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,10,8bb738b424a3d038,-6,4,40,True,200,,,,,,,0.07144339382648468,0.08413045853376389,0.2937433123588562,,,,,15
