dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6277132448262379,0.6195619702339172,0.6371471285820007,192,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.043489431496709585,0.057137058214529565,0.25255206697865534,,,,,6
m-so2sat,knn5,accuracy,0.39655172413793105,0.3681541681289673,0.43007099628448486,192,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.22008201479911804,0.23057600855827332,0.3333347737789154,,,,,6
m-so2sat,linear,accuracy,0.5740365111561866,0.5435852408409119,0.6055527329444885,192,1.4251026703029963,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.1091715395450592,0.12259722501039505,0.2670885920524597,,,,,15
m-bigearthnet,knn5,micro_mAP,0.45849886786623717,0.4407905042171478,0.47475942969322205,192,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.040967454559841125,0.05885894178564465,0.3328067360575809,,,,,6
m-bigearthnet,linear,micro_mAP,0.5813980925159987,0.5641740560531616,0.5967841744422913,192,0.0744380301325168,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.019511424687279517,0.0493516614444034,0.48442366545976595,,,,,15
benv2,linear,micro_mAP,0.7412788755584209,0.7333555221557617,0.7490794658660889,192,0.04124626382901348,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.016157490198230862,0.03091478416402089,0.2656837576314023,,,,,15
so2sat,knn5,accuracy,0.39655172413793105,0.37520283460617065,0.42903146147727966,192,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.22008201479911804,0.23057600855827332,0.3333347737789154,,,,,6
so2sat,linear,accuracy,0.5740365111561866,0.5435852408409119,0.6044878363609314,192,1.4251026703029963,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.10895242542028427,0.1191416010260582,0.22739577293395996,,,,,15
eurosat-spatial,knn5,accuracy,0.8562962962962963,0.8479398488998413,0.8650046586990356,192,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.029853548854589462,0.0305487010627985,0.04999999701976776,,,,,6
eurosat-spatial,linear,accuracy,0.8985185185185185,0.8914768099784851,0.9064953923225403,192,0.0744380301325168,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.012346756644546986,0.027503078803420067,0.4111032783985138,,,,,15
m-eurosat,knn5,accuracy,0.868,0.8450000286102295,0.89205002784729,192,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.034999825060367584,0.052882008254528046,0.800000011920929,,,,,6
m-eurosat,linear,accuracy,0.926,0.9049999713897705,0.9419999718666077,192,0.04124626382901348,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.06916864216327667,0.10379157960414886,0.46267494559288025,,,,,15
m-brick-kiln,knn5,accuracy,0.9119119119119119,0.8948948979377747,0.9299299120903015,192,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.029429186135530472,0.0327448733150959,0.06666737794876099,,,,,6
m-brick-kiln,linear,accuracy,0.943943943943944,0.9299299120903015,0.955955982208252,192,0.0744380301325168,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.014827286824584007,0.03867653012275696,0.18397647142410278,,,,,15
m-pv4ger,knn5,accuracy,0.9419419419419419,0.9268768429756165,0.9599850177764893,192,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.02742740511894226,0.03222868964076042,0.08717972040176392,,,,,6
m-pv4ger,linear,accuracy,0.955955955955956,0.9429429173469543,0.9679679870605469,192,2.5719138090593416,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.023492127656936646,0.055308111011981964,0.2869707942008972,,,,,15
forestnet,knn5,accuracy,0.37059415911379656,0.3403574824333191,0.40183788537979126,192,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.3258824944496155,0.3481830358505249,0.46202293038368225,,,,,6
forestnet,linear,accuracy,0.5015105740181269,0.4743202328681946,0.5308408737182617,192,0.007017038286703823,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.058848220854997635,0.07044004648923874,0.14054423570632935,,,,,15
m-forestnet,knn5,accuracy,0.36555891238670696,0.3393504321575165,0.3978096842765808,192,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_tiny_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,c886cfec50d70dbc,-6,4,40,True,200,,,,,,,0.32084715366363525,0.3354521095752716,0.3977900743484497,,,,,6
